,Transaction ID,Price Per Unit,Quantity,Total Spent,Item,Transaction Date,Payment Method,Location
0,TXN_1000555,1.5,1.0,1.5,Tea,2023-10-19,Credit Card,In-store
1,TXN_1001832,5.0,2.0,10.0,Salad,2023-10-19,Cash,Takeaway
2,TXN_1002457,1.0,5.0,5.0,Cookie,2023-09-29,Digital Wallet,Takeaway
3,TXN_1003246,3.0,2.0,6.0,Juice,2023-02-15,Digital Wallet,In-store
4,TXN_1004184,4.0,1.0,4.0,Smoothie,2023-05-18,Credit Card,In-store
5,TXN_1004563,1.5,5.0,7.5,Tea,2023-10-28,Credit Card,In-store
6,TXN_1005331,2.0,1.0,2.0,Coffee,2023-11-04,Digital Wallet,Takeaway
7,TXN_1005377,3.0,5.0,15.0,Cake,2023-06-03,Digital Wallet,Takeaway
8,TXN_1005472,2.0,4.0,8.0,Coffee,2023-04-21,Credit Card,Takeaway
9,TXN_1006942,5.0,1.0,5.0,Salad,2023-11-30,Credit Card,In-store
10,TXN_1007347,5.0,4.0,20.0,Salad,2023-08-28,Digital Wallet,In-store
11,TXN_1009421,1.0,4.0,4.0,Cookie,2023-02-21,Cash,Takeaway
12,TXN_1010950,1.0,1.0,1.0,Cookie,2023-01-07,Digital Wallet,Takeaway
13,TXN_1011236,3.0,1.0,3.0,Cake,2023-02-08,Cash,In-store
14,TXN_1012349,3.0,4.0,12.0,Juice,2023-07-08,Cash,In-store
15,TXN_1015883,1.0,4.0,4.0,Cookie,2023-10-16,Cash,In-store
16,TXN_1016246,2.0,1.0,2.0,Coffee,2023-01-19,Digital Wallet,Takeaway
17,TXN_1018470,3.0,3.0,9.0,Juice,2023-01-14,Digital Wallet,In-store
18,TXN_1018880,4.0,5.0,20.0,Smoothie,2023-07-15,Digital Wallet,In-store
19,TXN_1020478,2.0,1.0,2.0,Coffee,2023-03-09,Digital Wallet,Takeaway
20,TXN_1020983,3.0,1.0,3.0,Juice,2023-03-23,Digital Wallet,In-store
21,TXN_1021087,4.0,1.0,4.0,Sandwich,2023-11-01,Credit Card,In-store
22,TXN_1022126,1.5,3.0,4.5,Tea,2023-11-01,Digital Wallet,In-store
23,TXN_1022220,3.0,3.0,9.0,Juice,2023-08-03,Digital Wallet,Takeaway
24,TXN_1022523,5.0,4.0,20.0,Salad,2023-11-25,Cash,In-store
25,TXN_1025152,1.0,4.0,4.0,Cookie,2023-08-19,Digital Wallet,Takeaway
26,TXN_1026050,3.0,1.0,3.0,Cake,2023-04-23,Cash,Takeaway
27,TXN_1026799,3.0,5.0,15.0,Cake,2023-04-23,Credit Card,Takeaway
28,TXN_1026827,1.0,4.0,4.0,Cookie,2023-01-02,Digital Wallet,In-store
29,TXN_1030539,3.0,3.0,9.0,Cake,2023-11-06,Cash,Takeaway
30,TXN_1031802,1.0,4.0,4.0,Cookie,2023-06-27,Digital Wallet,Takeaway
31,TXN_1034067,4.0,3.0,12.0,Smoothie,2023-01-07,Digital Wallet,In-store
32,TXN_1034651,4.0,3.0,12.0,Sandwich,2023-07-06,Credit Card,Takeaway
33,TXN_1034956,4.0,4.0,16.0,Sandwich,2023-07-06,Cash,In-store
34,TXN_1035504,4.0,2.0,8.0,Smoothie,2023-03-30,Digital Wallet,Takeaway
35,TXN_1037464,4.0,5.0,20.0,Sandwich,2023-02-14,Digital Wallet,In-store
36,TXN_1037486,5.0,5.0,25.0,Salad,2023-02-14,Digital Wallet,In-store
37,TXN_1038397,1.0,3.0,3.0,Cookie,2023-05-20,Digital Wallet,In-store
38,TXN_1039367,4.0,3.0,12.0,Sandwich,2023-03-12,Cash,In-store
39,TXN_1040764,2.0,3.0,6.0,Coffee,2023-07-27,Cash,Takeaway
40,TXN_1041891,1.0,5.0,5.0,Cookie,2023-08-09,Digital Wallet,Takeaway
41,TXN_1045022,4.0,4.0,16.0,Sandwich,2023-10-13,Credit Card,Takeaway
42,TXN_1046384,4.0,1.0,4.0,Smoothie,2023-06-09,Cash,In-store
43,TXN_1046394,4.0,1.0,4.0,Smoothie,2023-04-29,Cash,In-store
44,TXN_1046659,4.0,3.0,12.0,Smoothie,2023-12-14,Digital Wallet,Takeaway
45,TXN_1047204,1.0,3.0,3.0,Cookie,2023-04-13,Digital Wallet,Takeaway
46,TXN_1047450,2.0,2.0,4.0,Coffee,2023-11-19,Cash,In-store
47,TXN_1048284,5.0,2.0,10.0,Salad,2023-08-19,Cash,In-store
48,TXN_1048616,1.5,1.0,1.5,Tea,2023-10-10,Cash,In-store
49,TXN_1049697,1.5,3.0,4.5,Tea,2023-10-08,Cash,In-store
50,TXN_1050083,3.0,5.0,15.0,Cake,2023-06-28,Credit Card,Takeaway
51,TXN_1050323,3.0,1.0,3.0,Juice,2023-03-10,Digital Wallet,In-store
52,TXN_1054912,4.0,3.0,12.0,Sandwich,2023-08-02,Cash,In-store
53,TXN_1054915,1.0,5.0,5.0,Cookie,2023-01-22,Digital Wallet,In-store
54,TXN_1056256,3.0,4.0,12.0,Cake,2023-12-04,Cash,In-store
55,TXN_1056277,1.0,5.0,5.0,Cookie,2023-02-06,Digital Wallet,Takeaway
56,TXN_1057209,1.0,5.0,5.0,Cookie,2023-09-17,Credit Card,In-store
57,TXN_1057760,3.0,4.0,12.0,Juice,2023-02-20,Credit Card,Takeaway
58,TXN_1058466,1.0,3.0,3.0,Cookie,2023-12-07,Digital Wallet,Takeaway
59,TXN_1058927,4.0,4.0,16.0,Sandwich,2023-07-08,Cash,In-store
60,TXN_1058957,3.0,2.0,6.0,Juice,2023-03-21,Cash,In-store
61,TXN_1059293,4.0,5.0,20.0,Sandwich,2023-12-04,Credit Card,In-store
62,TXN_1062822,3.0,2.0,6.0,Juice,2023-06-28,Credit Card,In-store
63,TXN_1063342,4.0,5.0,20.0,Sandwich,2023-01-13,Credit Card,In-store
64,TXN_1063366,3.0,3.0,9.0,Juice,2023-03-20,Digital Wallet,In-store
65,TXN_1063524,4.0,5.0,20.0,Smoothie,2023-11-09,Credit Card,In-store
66,TXN_1064565,3.0,4.0,12.0,Juice,2023-03-14,Digital Wallet,In-store
67,TXN_1065721,4.0,4.0,16.0,Sandwich,2023-12-06,Cash,Takeaway
68,TXN_1066604,4.0,5.0,20.0,Sandwich,2023-05-18,Credit Card,In-store
69,TXN_1067052,1.5,4.0,6.0,Tea,2023-02-18,Digital Wallet,Takeaway
70,TXN_1068317,3.0,3.0,9.0,Juice,2023-03-16,Digital Wallet,Takeaway
71,TXN_1072232,4.0,1.0,4.0,Sandwich,2023-01-07,Digital Wallet,In-store
72,TXN_1072678,3.0,2.0,6.0,Juice,2023-05-30,Cash,In-store
73,TXN_1072984,1.5,4.0,6.0,Tea,2023-01-11,Digital Wallet,In-store
74,TXN_1074435,2.0,1.0,2.0,Coffee,2023-11-25,Digital Wallet,In-store
75,TXN_1075183,1.5,2.0,3.0,Tea,2023-01-09,Credit Card,In-store
76,TXN_1075446,1.0,4.0,4.0,Cookie,2023-07-17,Credit Card,Takeaway
77,TXN_1075969,1.0,2.0,2.0,Cookie,2023-08-13,Digital Wallet,Takeaway
78,TXN_1077060,2.0,3.0,6.0,Coffee,2023-08-22,Digital Wallet,Takeaway
79,TXN_1077129,1.0,1.0,1.0,Cookie,2023-09-12,Digital Wallet,In-store
80,TXN_1079239,4.0,1.0,4.0,Smoothie,2023-02-08,Digital Wallet,Takeaway
81,TXN_1079241,3.0,3.0,9.0,Juice,2023-07-16,Digital Wallet,Takeaway
82,TXN_1079844,5.0,2.0,10.0,Salad,2023-10-27,Digital Wallet,In-store
83,TXN_1080377,3.0,2.0,6.0,Cake,2023-04-08,Cash,Takeaway
84,TXN_1080432,5.0,2.0,10.0,Salad,2023-04-29,Credit Card,In-store
85,TXN_1082012,4.0,5.0,20.0,Smoothie,2023-01-04,Credit Card,In-store
86,TXN_1082421,5.0,1.0,5.0,Salad,2023-12-19,Digital Wallet,In-store
87,TXN_1082717,3.0,3.0,9.0,Juice,2023-12-13,Digital Wallet,In-store
88,TXN_1084010,4.0,2.0,8.0,Smoothie,2023-08-11,Credit Card,In-store
89,TXN_1084222,2.0,4.0,8.0,Coffee,2023-06-03,Digital Wallet,In-store
90,TXN_1086324,3.0,3.0,9.0,Cake,2023-11-25,Cash,In-store
91,TXN_1088497,4.0,1.0,4.0,Sandwich,2023-07-05,Digital Wallet,Takeaway
92,TXN_1090854,1.0,3.0,3.0,Cookie,2023-01-07,Credit Card,In-store
93,TXN_1091115,4.0,5.0,20.0,Sandwich,2023-11-04,Cash,Takeaway
94,TXN_1091243,4.0,2.0,8.0,Sandwich,2023-01-06,Credit Card,In-store
95,TXN_1093668,2.0,2.0,4.0,Coffee,2023-05-18,Digital Wallet,Takeaway
96,TXN_1093800,4.0,3.0,12.0,Sandwich,2023-05-18,Cash,Takeaway
